# theta,phi
4.072660066985491767e+00,1.525370077208840547e+00
1.672696837256962166e+00,1.523435628321340163e+00
5.555918914708017908e+00,1.521501002056556251e+00
3.155955684979130815e+00,1.519566191122768917e+00
7.559924552506007700e-01,1.517631188222011041e+00
4.639214532701656957e+00,1.515695986049819366e+00
2.239251302972769420e+00,1.513760577294982701e+00
6.122473380423826050e+00,1.511824954639291230e+00
3.722510150695295561e+00,1.509889110757283603e+00
1.322546920966408468e+00,1.507953038315994698e+00
5.205768998417464211e+00,1.506016729974702262e+00
2.805805768688934165e+00,1.504080178384671340e+00
4.058425389600471278e-01,1.502143376188901147e+00
4.289064616411103259e+00,1.500206316021867492e+00
1.889101386682573214e+00,1.498268990509267429e+00
5.772323464133272353e+00,1.496331392267761462e+00
3.372360234404741863e+00,1.494393513904715087e+00
9.723970046762118180e-01,1.492455348017938777e+00
4.855619082126910513e+00,1.490516887195429740e+00
2.455655852398380468e+00,1.488578124015109250e+00
5.569262266949340928e-02,1.486639051044561066e+00
3.938914700120549561e+00,1.484699660840769209e+00
1.538951470392019516e+00,1.482759945949852831e+00
5.422173547842718655e+00,1.480819898906801768e+00
3.022210318114188166e+00,1.478879512235210081e+00
6.222470883856581203e-01,1.476938778447008938e+00
4.505469165836356815e+00,1.474997690042198606e+00
2.105505936107826770e+00,1.473056239508578003e+00
5.988728013558882957e+00,1.471114419321475797e+00
3.588764783829995864e+00,1.469172221943476409e+00
1.188801554101465818e+00,1.467229639824148002e+00
5.072023631552522005e+00,1.465286665399768262e+00
2.672060401823634468e+00,1.463343291093047727e+00
2.720971720951044781e-01,1.461399509312854006e+00
4.155319249546160165e+00,1.459455312453932674e+00
1.755356019817273294e+00,1.457510692896627713e+00
5.638578097268329259e+00,1.455565643006599963e+00
3.238614867539799214e+00,1.453620155134545344e+00
8.386516378109120096e-01,1.451674221615910421e+00
4.721873715261968307e+00,1.449727834770605961e+00
2.321910485533437818e+00,1.447780986902721834e+00
6.205132562984137401e+00,1.445833670300236351e+00
3.805169333255606912e+00,1.443885877234726944e+00
1.405206103527076866e+00,1.441937599961078620e+00
5.288428180977775561e+00,1.439988830717189527e+00
2.888464951249245516e+00,1.438039561723676307e+00
4.885017215207154706e-01,1.436089785183577439e+00
