,id,x,y,z,rx,ry,rz
69,102888,-0.01479891300740696,-0.009993902707973464,0.09169003940804882,-0.429277,-3.1099919999999996,-0.089684
70,102889,0.005275108663868104,-0.012213759872331354,0.10366796444928097,-0.9793360000000001,-2.9066099999999997,-0.098048
71,102890,0.006903564021606246,-0.0075061337675329425,0.09307191490446998,-2.139022,2.204081,0.13716099999999998
72,102891,0.009546373175373442,-0.016316189724308608,0.10763736030462295,-1.223611,2.8249419999999996,0.11243299999999999
73,102892,-0.006009796744794514,-0.01468073611495376,0.10292545681549525,-0.15448499999999998,-3.0701490000000002,-0.094503
74,102893,-0.007237800410645471,-0.01970688805276614,0.09193298592541266,-0.9663280000000001,-2.90728,-0.115138
75,102894,0.007947011123716988,-0.0005518079764219863,0.09567757415350475,-1.987569,2.377644,0.1221
76,102895,-0.044489696652954824,-0.026360265759279675,0.1085574201806043,0.6656310000000001,-2.120464,-0.010134
77,102896,-0.013937804625707435,-0.006581055225878894,0.0965969492421926,-0.272913,-3.072161,-0.087063
78,102897,-0.009670171964200714,-0.016386748116654172,0.09061726303773904,-0.923243,-2.9148240000000003,-0.11788699999999999
79,102898,-0.001691239355104327,-0.01944992030614794,0.09185916370375727,-1.425781,-2.706829,-0.10255399999999999
80,102900,-0.006197700093854998,-0.01890378023077205,0.10337255933381029,1.104403,-2.8658040000000002,-0.097252
81,102901,0.0019655177046042863,-0.006509456397484679,0.10178486387663577,-0.03377,-3.116175,-0.111845
84,103033,0.002476173128190393,-0.014809516666947714,0.1718025352360108,-0.876101,-6.015880999999999,-0.29489899999999997
85,103034,-0.016198615226323033,-0.008443343552863886,0.07581273040643477,0.331409,3.225218,0.220498
86,103035,-0.01414995530969416,-0.006096638193596805,0.07645138930940178,-0.265144,-3.092767,-0.20986100000000002
87,103036,-0.011030443191371374,-0.011362422183558263,0.07364259102669352,0.308296,3.127639,0.229382
88,103037,-0.0042124581163762425,-0.0075534712555863515,0.07519044474929043,0.168456,3.043717,0.202506
89,103038,-0.0037561658673025064,-0.004451331141038049,0.07491328491645391,0.17060699999999998,3.0677630000000002,0.265839
90,103039,-0.003956722710108555,-0.0015560099979605932,0.07477178068827534,0.21918,3.062328,0.260463
91,103040,-0.008544242290405842,0.00042604051483037704,0.07450707037273874,0.061311000000000004,3.011666,0.31567399999999995
92,103041,-0.003397681334941661,-0.008548392356393816,0.07185680941224357,0.142957,3.063913,0.299774
93,103042,-0.002030177631427976,-0.01927085809140313,0.07345000271201985,0.195696,3.052448,0.25354099999999996
94,103043,-0.0035620796004655463,-0.0020150923448477923,0.0707080084313118,0.035907999999999995,3.034235,0.260201
95,103044,-0.000980965966967689,0.0012115851016530578,0.07721673984412164,-0.044357,3.063604,0.269983
